Season,Lowest temperature (C),Sunshine duration (hours),Maximum snow depth (cm),Total snowfall (cm)
0,6.1,11.4,0,0
0,7.7,6.2,0,0
0,11.7,7.9,0,0
0,8.5,7.6,0,0
0,3.5,11.6,0,0
0,2.2,11.6,0,0
0,7.6,10.8,0,0
0,8.8,9.9,0,0
0,11,7.1,0,0
0,6.2,8.7,0,0
0,4,10.8,0,0
0,12.4,0.1,0,0
0,6.2,9,0,0
0,3.5,11.3,0,0
0,5,11.3,0,0
0,8.5,9.6,0,0
0,9.6,6.5,0,0
0,12.2,6.4,0,0
0,11.5,9.1,0,0
0,8.5,10,0,0
0,5.2,8.5,0,0
0,4.9,10.3,0,0
0,4.7,2,0,0
0,11.2,4.5,0,0
0,12.1,8.9,0,0
0,11.5,10.8,0,0
0,13.9,8.2,0,0
0,9.1,9.3,0,0
0,9.1,11.3,0,0
0,11,10.6,0,0
0,9,10.3,0,0
0,8.8,10.9,0,0
0,12.8,2,0,0
0,8.8,11.2,0,0
0,7.1,8.2,0,0
0,9.8,11.2,0,0
0,8.9,10.2,0,0
0,9,8.9,0,0
0,7.2,7.2,0,0
0,11.9,1.1,0,0
0,10,4.9,0,0
0,8,11.5,0,0
0,14.6,1.6,0,0
0,13.5,0.6,0,0
0,15.1,0,0,0
0,13,8.5,0,0
0,14.1,0,0,0
0,13,1.2,0,0
0,12,6.2,0,0
0,13.3,10.1,0,0
0,14.7,2.3,0,0
0,11.7,9.2,0,0
0,10,8,0,0
0,14.8,4.4,0,0
0,13.7,9.2,0,0
0,14.3,4.3,0,0
0,13.3,3.7,0,0
0,16.1,1.4,0,0
0,16.7,5.9,0,0
0,15.9,0.1,0,0
0,16.2,5.6,0,0
0,17.4,0.1,0,0
0,15.2,8.3,0,0
0,13,4.8,0,0
0,16.6,0.4,0,0
0,14.9,4.6,0,0
0,14.7,3.2,0,0
0,15.6,7.6,0,0
0,12.6,11.4,0,0
0,15.5,10.6,0,0
0,13.6,7.8,0,0
0,16.8,0,0,0
0,18.3,0.1,0,0
0,17.4,0.4,0,0
0,16.9,8.6,0,0
0,15.2,10.1,0,0
0,16.3,0,0,0
0,17.6,4.5,0,0
0,17.6,0.1,0,0
0,19.3,0.5,0,0
0,18.3,4.3,0,0
0,17.8,0.2,0,0
0,18.5,6.8,0,0
0,19.3,2.2,0,0
0,18.5,9.6,0,0
0,16.8,10,0,0
0,19.2,8,0,0
0,20.6,1.3,0,0
0,19.3,0,0,0
0,17.6,10.4,0,0
0,16.2,10.2,0,0
0,15.8,10.8,0,0
0,16.2,10.6,0,0
0,20,8.2,0,0
0,20.8,8.4,0,0
0,19.7,7.1,0,0
0,19,8.6,0,0
0,17.5,7.7,0,0
0,19.3,5.4,0,0
0,18.1,7.1,0,0
0,20.4,10.5,0,0
0,18.7,8.2,0,0
0,19.5,6.8,0,0
0,21.5,1.4,0,0
0,21.6,0,0,0
0,21.1,0.4,0,0
0,21.3,5.7,0,0
0,19.8,7.5,0,0
0,18.9,2.9,0,0
0,18.3,4.7,0,0
0,17.4,5.8,0,0
0,18.3,0,0,0
0,19.2,0.1,0,0
0,19.1,6.6,0,0
0,19.6,8.5,0,0
0,21.7,4.7,0,0
0,21,8.1,0,0
0,19.4,9.7,0,0
0,17.2,9.2,0,0
0,17.7,1.5,0,0
0,18.5,5.3,0,0
0,21,8.1,0,0
0,19.7,8.9,0,0
0,18.2,7.2,0,0
0,18.1,8.1,0,0
0,16.9,2.2,0,0
0,15.6,1,0,0
0,14.5,6.8,0,0
0,17.3,8.2,0,0
0,18.7,0.2,0,0
0,18,2.5,0,0
0,15.3,5.6,0,0
0,15.7,4.5,0,0
0,15.8,0.9,0,0
0,13,5.1,0,0
0,11.3,7.8,0,0
0,13.7,6.9,0,0
0,13.4,10.5,0,0
0,16.2,0.2,0,0
0,16.3,4.4,0,0
0,14,2.4,0,0
0,11.6,5.8,0,0
